# Pathway	HSM5MD4U_P_Abundance
UNMAPPED	762795.0285474589
UNINTEGRATED	2511349.8470999361
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	2320714.5991178243
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	423749.4454879973
UNINTEGRATED|g__Clostridium.s__Clostridium_hathewayi	152427.5731985786
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	142226.6979239725
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	132984.0368908123
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	58505.1850764139
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	51804.9094131738
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	39560.8634613581
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	26048.3801915618
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	22655.3279340455
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	15392.2500467510
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	13506.1380194572
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	11888.7779397605
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_3_1_31	10128.5125974150
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	5486.5672456396
UNINTEGRATED|g__Campylobacter.s__Campylobacter_curvus	4967.1410994004
UNINTEGRATED|g__Megasphaera.s__Megasphaera_micronuciformis	1405.1493472926
UNINTEGRATED|g__Campylobacter.s__Campylobacter_gracilis	1006.9488429317
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	753.8206803526
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	1771.3629147380
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	1753.3786605505
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1768.3812127307
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	1545.2145276788
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_hathewayi	24.4917027533
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	21.4265602707
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	16.5247898000
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_symbiosum	10.4174499383
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	7.7655003298
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	6.9134126119
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_gnavus	6.0922404415
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Campylobacter.s__Campylobacter_curvus	3.3328421214
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Megasphaera.s__Megasphaera_micronuciformis	2.4967886648
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Veillonella.s__Veillonella_parvula	2.0343990311
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	1.5970600980
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	1.0009633197
PWY0-1319: CDP-diacylglycerol biosynthesis II	1073.3725729825
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	826.4173760239
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_hathewayi	20.1512395770
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	6.6074900192
PWY-5667: CDP-diacylglycerol biosynthesis I	1073.3725729825
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	826.4173760239
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Clostridium.s__Clostridium_hathewayi	20.1512395770
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Flavonifractor.s__Flavonifractor_plautii	6.6074900192
PWY-3841: folate transformations II	791.1571883052
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis	696.6936817419
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	661.7267714781
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	562.3320766001
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	657.8858605333
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_uniformis	496.4002038907
PWY-1042: glycolysis IV (plant cytosol)	646.6885415847
PWY-1042: glycolysis IV (plant cytosol)|g__Akkermansia.s__Akkermansia_muciniphila	15.4430605604
PWY-1042: glycolysis IV (plant cytosol)|g__Anaerotruncus.s__Anaerotruncus_colihominis	3.0081976422
PWY-5686: UMP biosynthesis	608.9333583984
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	412.4423392041
PWY-2942: L-lysine biosynthesis III	600.6205270811
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	434.7374863979
PWY-6151: S-adenosyl-L-methionine cycle I	537.3893413109
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_uniformis	464.4875186689
PWY-6151: S-adenosyl-L-methionine cycle I|g__Anaerotruncus.s__Anaerotruncus_colihominis	4.6392203495
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	496.0345213264
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	437.8464411858
NONMEVIPP-PWY: methylerythritol phosphate pathway I	481.7722066810
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	480.6083818093
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_uniformis	132.8107033772
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Flavonifractor.s__Flavonifractor_plautii	39.1888214140
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Blautia.s__Ruminococcus_torques	26.2793697857
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	16.7926658301
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	10.3637507726
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Megasphaera.s__Megasphaera_micronuciformis	3.4333440795
PWY-5097: L-lysine biosynthesis VI	409.3698019180
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_uniformis	154.3405746932
PWY-6737: starch degradation V	374.3110039970
PWY-6737: starch degradation V|g__Roseburia.s__Roseburia_intestinalis	9.8815864282
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_hathewayi	7.0577659599
PWY-6737: starch degradation V|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	6.0277641872
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_clostridioforme	3.4544303069
PWY-6737: starch degradation V|g__Blautia.s__Ruminococcus_gnavus	1.9750473996
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	365.7059055530
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	284.0153876271
