# Pathway	MSM5ZOJY_P_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	1.0000000000
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	1.0000000000
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	1.0000000000
UNINTEGRATED|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	1.0000000000
UNINTEGRATED|g__Clostridium.s__Clostridium_asparagiforme	1.0000000000
UNINTEGRATED|g__Clostridium.s__Clostridium_clostridioforme	1.0000000000
UNINTEGRATED|g__Clostridium.s__Clostridium_hathewayi	1.0000000000
UNINTEGRATED|g__Clostridium.s__Clostridium_nexile	1.0000000000
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	1.0000000000
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	1.0000000000
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	1.0000000000
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	1.0000000000
UNINTEGRATED|g__Holdemania.s__Holdemania_filiformis	1.0000000000
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	1.0000000000
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_KLE_1728	1.0000000000
UNINTEGRATED|g__Prevotella.s__Prevotella_buccae	1.0000000000
UNINTEGRATED|g__Proteus.s__Proteus_penneri	1.0000000000
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	1.0000000000
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
PWY-5177: glutaryl-CoA degradation	1.0000000000
PWY-5177: glutaryl-CoA degradation|unclassified	1.0000000000
PWY-1042: glycolysis IV (plant cytosol)	1.0000000000
PWY-1042: glycolysis IV (plant cytosol)|g__Holdemania.s__Holdemania_filiformis	0.0501596875
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	0.0755651991
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1.0000000000
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.7889331050
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.9983116863
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.9698578823
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Holdemania.s__Holdemania_filiformis	0.6629899290
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	0.8073019585
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	0.5289722085
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_formicigenerans	0.8622610204
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_nexile	0.8076916232
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_buccae	0.0138029270
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	0.0001469336
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_clostridioforme	0.0000111735
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	1.0000000000
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_intestinalis	0.9999969860
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.0071345984
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	0.0297950974
PWY-6737: starch degradation V	1.0000000000
PWY-6737: starch degradation V|unclassified	0.0000584275
PWY-6737: starch degradation V|g__Roseburia.s__Roseburia_intestinalis	0.9999633548
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_asparagiforme	0.8197731467
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_hallii	0.0358882112
PWY-6737: starch degradation V|g__Blautia.s__Ruminococcus_obeum	0.1921775079
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_hathewayi	0.0080655058
PWY-6737: starch degradation V|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0000535807
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_clostridioforme	0.1003900533
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_rectale	0.5918676662
PWY-6737: starch degradation V|g__Clostridium.s__Clostridium_nexile	0.0451372533
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	1.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Roseburia.s__Roseburia_intestinalis	0.0000051610
PWY-5100: pyruvate fermentation to acetate and lactate II	0.9999998599
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	0.1949749322
PWY-6588: pyruvate fermentation to acetone	0.9999972505
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	1.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	0.0000334140
PWY0-1296: purine ribonucleosides degradation	0.9999999951
PWY0-1296: purine ribonucleosides degradation|unclassified	0.0000002623
PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_intestinalis	0.0000033001
PWY0-1296: purine ribonucleosides degradation|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0000031791
PWY0-1296: purine ribonucleosides degradation|g__Holdemania.s__Holdemania_filiformis	0.0000000021
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0594785156
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Anaerostipes.s__Anaerostipes_hadrus	0.1379476207
P164-PWY: purine nucleobases degradation I (anaerobic)	0.9895719639
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.9999937147
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0000000027
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.1627497986
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0399266333
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	0.0000210710
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Clostridium.s__Clostridium_hathewayi	0.0006934576
PWY66-422: D-galactose degradation V (Leloir pathway)	0.9968564698
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Roseburia.s__Roseburia_intestinalis	0.0005501162
PWY-7003: glycerol degradation to butanol	0.0013415599
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.3267815030
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000001
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)|unclassified	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.6305224916
PWY-6609: adenine and adenosine salvage III|g__Holdemania.s__Holdemania_filiformis	0.0000000024
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0000000021
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0000040222
PWY-2942: L-lysine biosynthesis III	0.6699531870
PWY-6151: S-adenosyl-L-methionine cycle I	0.6630729747
PWY-6151: S-adenosyl-L-methionine cycle I|g__Escherichia.s__Escherichia_coli	0.0651995877
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.6852129082
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_buccae	0.0000000008
VALSYN-PWY: L-valine biosynthesis	0.6852129082
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_eligens	0.0110056818
VALSYN-PWY: L-valine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.1731969232
VALSYN-PWY: L-valine biosynthesis|g__Clostridium.s__Clostridium_symbiosum	0.0335744844
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_obeum	0.0000051052
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_buccae	0.0000000008
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0000000000
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0397112616
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.9434854241
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0549765266
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	0.0022646835
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	0.0053226722
PWY-5667: CDP-diacylglycerol biosynthesis I	0.9434854241
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0549765266
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0022646835
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Flavonifractor.s__Flavonifractor_plautii	0.0053226722
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.4970964176
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	0.0675943699
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0000000001
PWY66-400: glycolysis VI (metazoan)	0.0000000012
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0432469319
PWY-5659: GDP-mannose biosynthesis	0.1396871620
PWY-5659: GDP-mannose biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.1293370368
PWY-5659: GDP-mannose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0.7902119604
PWY-5659: GDP-mannose biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.5001435764
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.2702315546
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Proteus.s__Proteus_penneri	0.3281071272
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_eligens	0.0110056818
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Clostridium.s__Clostridium_symbiosum	0.0335744844
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_buccae	0.0000000004
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.4104693558
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Prevotella.s__Prevotella_buccae	0.0000000008
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.5639435880
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Holdemania.s__Holdemania_filiformis	0.0789575779
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	0.0000029553
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.5639435880
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Holdemania.s__Holdemania_filiformis	0.0789575779
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0.0000029553
PWY-6317: galactose degradation I (Leloir pathway)	0.0103201596
PWY-6317: galactose degradation I (Leloir pathway)|g__Roseburia.s__Roseburia_intestinalis	0.0000743190
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.1326169360
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0092710001
PWY-5097: L-lysine biosynthesis VI	0.0109172547
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000002
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	0.2990265885
PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_buccae	0.0000000005
PWY-5104: L-isoleucine biosynthesis IV	0.2990264901
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000015
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.0263361035
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0984002221
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Holdemania.s__Holdemania_filiformis	0.0011424456
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0000000010
PWY-6527: stachyose degradation	0.0077581903
PWY-6527: stachyose degradation|g__Roseburia.s__Roseburia_intestinalis	0.0000644406
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0000838952
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0211868335
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0215072450
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0059901750
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Roseburia.s__Roseburia_intestinalis	0.4935855122
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.0000547115
PWY-4984: urea cycle	0.0084828457
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0067954246
ARO-PWY: chorismate biosynthesis I	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000010
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Holdemania.s__Holdemania_filiformis	0.0000000024
PANTO-PWY: phosphopantothenate biosynthesis I	0.0056097695
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0004820886
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Flavonifractor.s__Flavonifractor_plautii	0.0909453546
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.0000321218
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000033854
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	0.8529382036
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.0000000231
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
